Assessment Name,Relative URL,Duration in mins,Remote Testing,Adaptive/IRT,Test Type,Skills,Description
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,16.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Mining Engineering (New)' is a Knowledge & Skills assessment. Duration is 16.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Mobility (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Molecular Biology (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'MongoDB (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,25.0,Yes,No,Personality & Behavior,,The 'Motivation Questionnaire MQM5' is a Personality & Behavior assessment. Duration is 25.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,,Yes,No,Personality & Behavior,,The 'MQ Candidate Motivation Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,,Yes,No,Personality & Behavior,,The 'MQ Employee Motivation Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,,Yes,No,Personality & Behavior,,The 'MQ Motivation Report Pack' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,,Yes,No,Personality & Behavior,,The 'MQ Profile' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
MS Access (New),https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'MS Access (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
MS Excel (New),https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'MS Excel (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
MS Office Basic Computer Literacy (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'MS Office Basic Computer Literacy (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,5.0,Yes,No,Simulations,Practical Skills,The 'MS Office Basic Computer Literacy (Sim) (New)' is a Simulations assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
MS PowerPoint (New),https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/,4.0,Yes,No,Knowledge & Skills,Technical Skills,The 'MS PowerPoint (New)' is a Knowledge & Skills assessment. Duration is 4.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
MS Word (New),https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/,4.0,Yes,No,Knowledge & Skills,Technical Skills,The 'MS Word (New)' is a Knowledge & Skills assessment. Duration is 4.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
MuleSoft Development (New),https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/,17.0,Yes,No,Knowledge & Skills,Technical Skills,The 'MuleSoft Development (New)' is a Knowledge & Skills assessment. Duration is 17.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/,20.0,Yes,No,,,The 'Multitasking Ability' is a General assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Networking and Implementation (New),https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Networking and Implementation (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Node.js (New),https://www.shl.com/solutions/products/product-catalog/view/node-js-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Node.js (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Nursing (New),https://www.shl.com/solutions/products/product-catalog/view/nursing-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Nursing (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,25.0,Yes,No,Personality & Behavior,,The 'Occupational Personality Questionnaire OPQ32r' is a Personality & Behavior assessment. Duration is 25.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Operations Management (New),https://www.shl.com/solutions/products/product-catalog/view/operations-management-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Operations Management (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
OPQ Candidate Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-plus-report/,,Yes,No,Personality & Behavior,,The 'OPQ Candidate Plus Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Candidate Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-report-2-0/,,Yes,No,Personality & Behavior,,The 'OPQ Candidate Report 2.0' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Emotional Intelligence Report,https://www.shl.com/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,,Yes,No,Personality & Behavior,,The 'OPQ Emotional Intelligence Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,,Yes,No,Personality & Behavior,,The 'OPQ Leadership Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Manager Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report/,,Yes,No,Personality & Behavior,,The 'OPQ Manager Plus Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Manager Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/,,Yes,No,Personality & Behavior,,The 'OPQ Manager Plus Report 2.0' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Maximising your Learning Report,https://www.shl.com/solutions/products/product-catalog/view/opq-maximising-your-learning-report/,,Yes,No,Personality & Behavior,,The 'OPQ Maximising your Learning Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ MQ Sales Report,https://www.shl.com/solutions/products/product-catalog/view/opq-mq-sales-report/,,Yes,No,Personality & Behavior,,The 'OPQ MQ Sales Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Premium Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report/,,Yes,No,Personality & Behavior,,The 'OPQ Premium Plus Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Premium Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/,,Yes,No,Personality & Behavior,,The 'OPQ Premium Plus Report 2.0' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Profile Report,https://www.shl.com/solutions/products/product-catalog/view/opq-profile-report/,,Yes,No,Personality & Behavior,,The 'OPQ Profile Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Team Impact Group Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-group-development-report/,,Yes,No,Personality & Behavior,,The 'OPQ Team Impact Group Development Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Team Impact Individual Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/,,Yes,No,Personality & Behavior,,The 'OPQ Team Impact Individual Development Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Team Impact Selection Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-selection-report/,,Yes,No,Personality & Behavior,,The 'OPQ Team Impact Selection Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,,Yes,No,Personality & Behavior,,The 'OPQ Team Types & Leadership Styles Profile' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,,Yes,No,Personality & Behavior,,The 'OPQ Team Types and Leadership Styles Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/,,Yes,No,Personality & Behavior,,The 'OPQ UCF Development Action Planner Report 1.0' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,,Yes,No,Personality & Behavior,,The 'OPQ UCF Development Action Planner Report 2.0' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Universal Competency Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report/,,Yes,No,Personality & Behavior,,The 'OPQ Universal Competency Report 1.0' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ Universal Competency Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/,,Yes,No,Personality & Behavior,,The 'OPQ Universal Competency Report 2.0' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ User and Managers Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-and-managers-report/,,Yes,No,Personality & Behavior,,The 'OPQ User and Managers Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
OPQ User Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-report/,,Yes,No,,,The 'OPQ User Report' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Oracle DBA (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Oracle DBA (Advanced Level) (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Oracle DBA (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Oracle DBA (Entry Level) (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Oracle PL/SQL (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Oracle PL/SQL (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Oracle WebLogic Server (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Oracle WebLogic Server (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Organic Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Organic Chemistry (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Paint Technology (New),https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Paint Technology (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Pediatrics (New),https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Pediatrics (New)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Pega Development (New),https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/,17.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Pega Development (New)' is a Knowledge & Skills assessment. Duration is 17.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Perl (New),https://www.shl.com/solutions/products/product-catalog/view/perl-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Perl (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Petrochemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Petrochemical Engineering (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Petroleum Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Petroleum Engineering (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Pharmaceutical Analysis (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Pharmaceutical Analysis (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Pharmaceutical Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/,17.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Pharmaceutical Chemistry (New)' is a Knowledge & Skills assessment. Duration is 17.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Pharmaceutical Science (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-science-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Pharmaceutical Science (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Pharmaceutics (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutics-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Pharmaceutics (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Pharmacology (New),https://www.shl.com/solutions/products/product-catalog/view/pharmacology-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Pharmacology (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
PHP (New),https://www.shl.com/solutions/products/product-catalog/view/php-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'PHP (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
PJM Development Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-development-report/,,Yes,No,,,The 'PJM Development Report' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
PJM Selection Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-selection-report/,,Yes,No,,,The 'PJM Selection Report' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Polymer Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/polymer-engineering-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Polymer Engineering (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Power Electronics and Drives (New),https://www.shl.com/solutions/products/product-catalog/view/power-electronics-and-drives-new/,15.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Power Electronics and Drives (New)' is a Knowledge & Skills assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Power System Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/power-system-engineering-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Power System Engineering (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Prism (New),https://www.shl.com/solutions/products/product-catalog/view/prism-new/,4.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Prism (New)' is a Knowledge & Skills assessment. Duration is 4.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Production and Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-and-industrial-engineering-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Production and Industrial Engineering (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Production Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-engineering-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Production Engineering (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Programming Concepts,https://www.shl.com/solutions/products/product-catalog/view/programming-concepts/,25.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Programming Concepts' is a Knowledge & Skills assessment. Duration is 25.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Project Management (2013),https://www.shl.com/solutions/products/product-catalog/view/project-management-2013/,30.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Project Management (2013)' is a Knowledge & Skills assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Proofreading v1,https://www.shl.com/solutions/products/product-catalog/view/proofreading-v1/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Proofreading v1' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Python (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
R Programming (New),https://www.shl.com/solutions/products/product-catalog/view/r-programming-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'R Programming (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
ReactJS (New),https://www.shl.com/solutions/products/product-catalog/view/reactjs-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'ReactJS (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Reading Comprehension - English v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-english-v1/,35.0,Yes,Yes,Ability & Aptitude,,The 'Reading Comprehension - English v1' is a Ability & Aptitude assessment. Duration is 35.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
Reading Comprehension - Spanish v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-spanish-v1/,26.0,Yes,Yes,Ability & Aptitude,,The 'Reading Comprehension - Spanish v1' is a Ability & Aptitude assessment. Duration is 26.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
Reading Comprehension v2,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-v2/,35.0,Yes,Yes,Ability & Aptitude,,The 'Reading Comprehension v2' is a Ability & Aptitude assessment. Duration is 35.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
RemoteWorkQ,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq/,10.0,Yes,No,Competencies,,The 'RemoteWorkQ' is a Competencies assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
RemoteWorkQ Manager Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-manager-report/,,Yes,No,Competencies,,The 'RemoteWorkQ Manager Report' is a Competencies assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
RemoteWorkQ Participant Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-participant-report/,,Yes,No,Competencies,,The 'RemoteWorkQ Participant Report' is a Competencies assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
RESTful Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/restful-web-services-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'RESTful Web Services (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Retail Sales and Service Simulation,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-and-service-simulation/,30.0,Yes,No,,,The 'Retail Sales and Service Simulation' is a General assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Reviewing Forms - US (R1),https://www.shl.com/solutions/products/product-catalog/view/reviewing-forms-us-r1/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Reviewing Forms - US (R1)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Ruby (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Ruby (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Ruby on Rails (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-on-rails-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Ruby on Rails (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Sales & Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/,20.0,Yes,No,,,The 'Sales & Service Phone Simulation' is a General assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Sales & Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/,35.0,Yes,No,,,The 'Sales & Service Phone Solution' is a General assessment. Duration is 35.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Sales Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/sales-interview-guide/,,Yes,No,,,The 'Sales Interview Guide' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Sales Profiler Cards,https://www.shl.com/solutions/products/product-catalog/view/sales-profiler-cards/,,Yes,No,Personality & Behavior,,The 'Sales Profiler Cards' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-individual-contributor/,,Yes,No,Personality & Behavior,,The 'Sales Transformation 1.0 - Individual Contributor' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,,Yes,No,Personality & Behavior,,The 'Sales Transformation 2.0 - Individual Contributor' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-sales-manager/,,Yes,No,Personality & Behavior,,The 'Sales Transformation Report 1.0 - Sales Manager' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,,Yes,No,Personality & Behavior,,The 'Sales Transformation Report 2.0 - Sales Manager' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
